Lat,Lon,Rejected
38.8763,-77.0037,True
38.8743,-77.0057,False
38.90304,-77.019027,False
38.9003,-77.0429,True
38.9155,-77.0222,False
38.9172,-77.0259,False
38.8970435,-76.9478322,False
38.919077,-77.000648,False
38.9057,-77.0056,True
38.9308,-77.0315,False
38.9268,-77.0322,False
38.9176,-77.0321,False
38.926088,-77.036536,False
38.8952,-77.0436,True
38.856425,-77.049232,False
38.9008,-77.047,True
38.90985,-77.034438,False
38.848466,-77.051514,True
38.923203,-77.047637,False
38.9101,-77.0444,False
38.922925,-77.042581,False
38.8533,-77.0498,True
38.858971,-77.05323,False
38.912939,-77.032085,False
38.90534,-77.046774,True
38.86017,-77.049593,False
38.867373,-76.988039,True
38.8767,-77.0178,False
38.9086,-77.0323,False
38.8963,-77.045,True
38.85725,-77.05332,False
38.9154,-77.0446,False
38.9375,-77.0328,False
38.9249,-77.0222,True
38.862303,-77.059936,False
38.936043,-77.024649,False
38.9319,-77.0388,False
38.8426,-77.0502,False
38.857405,-77.051132,True
38.850688,-77.05152,True
38.8637,-77.0633,False
38.857866,-77.05949,False
38.8628539,-77.0527001,False
38.9346,-76.9955,False
38.90276,-77.03863,True
38.899408,-77.015289,False
38.862669,-76.994637,True
38.8851,-77.0023,False
38.8840911,-76.9855178,False
38.8803,-76.9862,False
38.854381,-77.053412,False
38.8896,-76.9769,False
38.9126,-77.0135,False
38.9121,-77.0387,False
38.8792,-76.9953,False
38.944551,-77.063896,False
38.934881,-77.072755,False
38.878,-76.9607,False
38.947774,-77.032818,False
38.886952,-76.996806,False
38.899632,-77.031686,True
38.938736,-77.087171,True
38.901385,-76.941877,False
38.886277,-77.028242,False
38.902221,-77.059219,False
38.886266,-77.022241,True
38.884,-76.995397,False
38.897293,-77.05557,False
38.893028,-77.026013,False
38.933668,-76.991016,False
38.905067,-77.041779,True
38.8997,-77.023086,False
38.929464,-77.027822,False
38.897222,-77.019347,True
38.899032,-77.033354,False
38.900022,-76.988422,False
38.905737,-77.02227,False
38.894919,-77.046587,True
38.934267,-77.057979,False
38.860227,-76.966572,False
38.878694,-77.023054,False
38.927872,-77.043358,False
38.900412,-77.001949,False
38.910972,-77.00495,True
38.91554,-77.03818,False
38.916442,-77.0682,False
38.947607,-77.079382,False
38.932514,-76.992889,False
38.8923,-77.0436,False
38.873057,-76.971015,False
38.900283,-77.029822,True
38.903407,-77.043648,True
38.90375,-77.06269,False
38.865784,-76.9784,True
38.90774,-77.071652,False
38.890461,-76.988355,False
38.89696,-77.00493,True
38.897446,-77.009888,True
38.894832,-76.987633,False
38.905607,-77.027137,True
38.900413,-76.982872,False
38.903827,-77.053485,False
38.889955,-77.000349,False
38.894,-76.947974,False
38.922581,-77.070334,False
38.898409,-77.032278,True
38.844015,-77.050537,True
38.897857,-77.026975,True
38.897315,-77.070993,False
38.893438,-77.076389,False
38.892164,-77.079375,False
38.8946,-77.072305,False
38.894514,-77.031617,False
38.902061,-77.038322,True
38.897312,-77.022325,False
38.898364,-77.027869,False
38.895344,-77.016106,False
38.8692,-76.9599,False
38.86559,-76.952103,False
38.892459,-77.046567,False
38.891696,-77.0846,False
38.889,-77.0925,False
38.920669,-77.04368,False
38.905996,-77.039802,False
38.9059,-77.0325,False
38.88786,-77.094875,False
38.8881,-77.09308,False
38.89968,-77.041539,False
38.912719,-77.022155,False
38.881185,-77.001828,False
38.8904,-77.0889,False
38.88412,-77.017445,False
38.915417,-77.012289,False
38.9418,-77.0251,False
38.928121,-77.023795,False
38.899972,-76.998347,False
38.899983,-76.991383,False
38.917761,-77.04062,False
38.905126,-77.056887,False
38.930282,-77.055599,False
38.889935,-76.93723,False
38.896544,-76.96012,False
38.88732,-76.983569,False
38.844711,-76.987823,False
